condition_id,scenario_id_1,scenario_id_2,scenario_id_3,case_id,player_limit,ai_player_limit,round_limit,game_limit,survey_delay,scenario_some_id_1,information_card_id_1,comp_information_card_id_1,game_end_survey_id_1,feedback_id_1,scenario_some_id_2,information_card_id_2,comp_information_card_id_2,game_end_survey_id_2,feedback_id_2,scenario_some_id_3,information_card_id_3,comp_information_card_id_3,game_end_survey_ID_3,feedback_id_3,game_scenario_description_1,game_scenario_description_2,game_scenario_description_3,ai_p0_types,ai_p1_types,midgame_id_1,midgame_id_2,midgame_id_3,feedback_type,ai_player_types_id
C1,S1T1,S2T1,S3T1,C1D0a,4,2,6,3,1000,C1_S1,IC1_1,CC1_1,GE_S1T1,C1_F1,C1_S2,IC1_2,CC1_2,GE_S2T1,C1_F1,C1_S3,IC1_3,CC1_3,GE_S3T1,C1_F1,GD_S1T1,GD_S2T1,GD_S3T1,B,B,S1T1,S2T1,S3T1,1,1
C2,S2T2,S3T2,S1T2,C1D0a,4,2,6,3,1000,C2_S1,IC2_1,CC2_1,GE_S2T2,C1_F1,C2_S2,IC2_2,CC2_2,GE_S3T2,C1_F1,C2_S3,IC2_3,CC2_3,GE_S1T2,C1_F1,GD_S2T2,GD_S3T2,GD_S1T2,C,C,S2T2,S3T2,S1T2,1,2
C3,S3T3,S1T3,S2T3,C1D0a,4,2,6,3,1000,C3_S1,IC3_1,CC3_1,GE_S3T3,C1_F1,C3_S2,IC3_2,CC3_2,GE_S1T3,C1_F1,C3_S3,IC3_3,CC3_3,GE_S2T3,C1_F1,GD_S3T3,GD_S1T3,GD_S2T3,B,B,S3T3,S1T3,S2T3,1,1
C4,S1T3,S3T2,S2T1,C1D1,4,2,6,3,1000,C4_S1,IC4_1,CC4_1,GE_S1T3,C1_F1,C4_S2,IC4_2,CC4_2,GE_S3T2,C1_F1,C4_S3,IC4_3,CC4_3,GE_S2T1,C1_F1,GD_S1T3,GD_S3T2,GD_S2T1,C,C,S1T3,S3T2,S2T1,1,2
C5,S2T2,S1T1,S3T3,C1D1,4,2,6,3,1000,C5_S1,IC5_1,CC5_1,GE_S2T2,C1_F1,C5_S2,IC5_2,CC5_2,GE_S1T1,C1_F1,C5_S3,IC5_3,CC5_3,GE_S3T3,C1_F1,GD_S2T2,GD_S1T1,GD_S3T3,B,B,S2T2,S1T1,S3T3,1,1
C6,S3T1,S2T3,S1T3,C1D1,4,2,6,3,1000,C6_S1,IC6_1,CC6_1,GE_S3T1,C1_F1,C6_S2,IC6_2,CC6_2,GE_S2T3,C1_F1,C6_S3,IC6_3,CC6_3,GE_S1T3,C1_F1,GD_S3T1,GD_S2T3,GD_S1T3,C,C,S3T1,S2T3,S1T3,1,2
C7,S1T2,S2T1,S3T1,C1D1,4,2,6,3,1000,C7_S1,IC7_1,CC7_1,GE_S1T2,C1_F1,C7_S2,IC7_2,CC7_2,GE_S2T1,C1_F1,C7_S3,IC7_3,CC7_3,GE_S3T1,C1_F1,GD_S1T2,GD_S2T1,GD_S3T1,B,B,S1T2,S2T1,S3T1,1,1
C8,S2T1,S3T3,S1T1,C1D1,4,2,6,3,1000,C8_S1,IC8_1,CC8_1,GE_S2T1,C1_F1,C8_S2,IC8_2,CC8_2,GE_S3T3,C1_F1,C8_S3,IC8_3,CC8_3,GE_S1T1,C1_F1,GD_S2T1,GD_S3T3,GD_S1T1,C,C,S2T1,S3T3,S1T1,1,2
C9,S3T3,S1T2,S2T2,C1D1,4,2,6,3,1000,C9_S1,IC9_1,CC9_1,GE_S3T3,C1_F1,C9_S2,IC9_2,CC9_2,GE_S1T2,C1_F1,C9_S3,IC9_3,CC9_3,GE_S2T2,C1_F1,GD_S3T3,GD_S1T2,GD_S2T2,B,B,S3T3,S1T2,S2T2,1,1
C10,S1T2,S3T3,S2T1,C1D0b,4,2,6,3,1000,C10_S1,IC10_1,CC10_1,GE_S1T2,C1_F1,C10_S2,IC10_2,CC10_2,GE_S3T3,C1_F1,C10_S3,IC10_3,CC10_3,GE_S2T1,C1_F1,GD_S1T2,GD_S3T3,GD_S2T1,C,C,S1T2,S3T3,S2T1,1,2
C11,S2T3,S1T1,S3T2,C1D0b,4,2,6,3,1000,C11_S1,IC11_1,CC11_1,GE_S2T3,C1_F1,C11_S2,IC11_2,CC11_2,GE_S1T1,C1_F1,C11_S3,IC11_3,CC11_3,GE_S3T2,C1_F1,GD_S2T3,GD_S1T1,GD_S3T2,B,B,S2T3,S1T1,S3T2,1,1
C12,S3T1,S2T2,S1T3,C1D0b,4,2,6,3,1000,C12_S1,IC12_1,CC12_1,GE_S3T1,C1_F1,C12_S2,IC12_2,CC12_2,GE_S2T2,C1_F1,C12_S3,IC12_3,CC12_3,GE_S1T3,C1_F1,GD_S3T1,GD_S2T2,GD_S1T3,C,C,S3T1,S2T2,S1T3,1,2
C13,S1T1,S2T2,S3T3,C1D1,4,2,6,3,1000,C13_S1,IC13_1,CC13_1,GE_S1T1,C1_F1,C13_S2,IC13_2,CC13_2,GE_S2T2,C1_F1,C13_S3,IC13_3,CC13_3,GE_S3T3,C1_F1,GD_S1T1,GD_S2T2,GD_S3T3,B,B,S1T1,S2T2,S3T3,1,1
C14,S2T3,S3T1,S1T2,C1D1,4,2,6,3,1000,C14_S1,IC14_1,CC14_1,GE_S2T3,C1_F1,C14_S2,IC14_2,CC14_2,GE_S3T1,C1_F1,C14_S3,IC14_3,CC14_3,GE_S1T2,C1_F1,GD_S2T3,GD_S3T1,GD_S1T2,C,C,S2T3,S3T1,S1T2,1,2
C15,S3T2,S1T3,S2T3,C1D1,4,2,6,3,1000,C15_S1,IC15_1,CC15_1,GE_S3T2,C1_F1,C15_S2,IC15_2,CC15_2,GE_S1T3,C1_F1,C15_S3,IC15_3,CC15_3,GE_S2T3,C1_F1,GD_S3T2,GD_S1T3,GD_S2T3,B,B,S3T2,S1T3,S2T3,1,1
C16,S1T3,S3T1,S2T2,C1D0c,4,2,6,3,1000,C16_S1,IC16_1,CC16_1,GE_S1T3,C1_F1,C16_S2,IC16_2,CC16_2,GE_S3T1,C1_F1,C16_S3,IC16_3,CC16_3,GE_S2T2,C1_F1,GD_S1T3,GD_S3T1,GD_S2T2,C,C,S1T3,S3T1,S2T2,1,2
C17,S2T1,S1T2,S3T2,C1D0c,4,2,6,3,1000,C17_S1,IC17_1,CC17_1,GE_S2T1,C1_F1,C17_S2,IC17_2,CC17_2,GE_S1T2,C1_F1,C17_S3,IC17_3,CC17_3,GE_S3T2,C1_F1,GD_S2T1,GD_S1T2,GD_S3T2,B,B,S2T1,S1T2,S3T2,1,1
C18,S3T2,S2T3,S1T1,C1D0c,4,2,6,3,1000,C18_S1,IC18_1,CC18_1,GE_S3T2,C1_F1,C18_S2,IC18_2,CC18_2,GE_S2T3,C1_F1,C18_S3,IC18_3,CC18_3,GE_S1T1,C1_F1,GD_S3T2,GD_S2T3,GD_S1T1,C,C,S3T2,S2T3,S1T1,1,2
C19,S1T1,S2T1,S3T1,C1D0a,4,2,6,3,1000,C19_S1,IC19_1,CC19_1,GE_S1T1,C1_F1,C19_S2,IC19_2,CC19_2,GE_S2T1,C1_F1,C19_S3,IC19_3,CC19_3,GE_S3T1,C1_F1,GD_S1T1,GD_S2T1,GD_S3T1,C,C,S1T1,S2T1,S3T1,2,2
C20,S2T2,S3T2,S1T2,C1D0a,4,2,6,3,1000,C20_S1,IC20_1,CC20_1,GE_S2T2,C1_F1,C20_S2,IC20_2,CC20_2,GE_S3T2,C1_F1,C20_S3,IC20_3,CC20_3,GE_S1T2,C1_F1,GD_S2T2,GD_S3T2,GD_S1T2,B,B,S2T2,S3T2,S1T2,2,1
C21,S3T3,S1T3,S2T3,C1D0a,4,2,6,3,1000,C21_S1,IC21_1,CC21_1,GE_S3T3,C1_F1,C21_S2,IC21_2,CC21_2,GE_S1T3,C1_F1,C21_S3,IC21_3,CC21_3,GE_S2T3,C1_F1,GD_S3T3,GD_S1T3,GD_S2T3,C,C,S3T3,S1T3,S2T3,2,2
C22,S1T3,S3T2,S2T1,C1D1,4,2,6,3,1000,C22_S1,IC22_1,CC22_1,GE_S1T3,C1_F1,C22_S2,IC22_2,CC22_2,GE_S3T2,C1_F1,C22_S3,IC22_3,CC22_3,GE_S2T1,C1_F1,GD_S1T3,GD_S3T2,GD_S2T1,B,B,S1T3,S3T2,S2T1,2,1
C23,S2T2,S1T1,S3T3,C1D1,4,2,6,3,1000,C23_S1,IC23_1,CC23_1,GE_S2T2,C1_F1,C23_S2,IC23_2,CC23_2,GE_S1T1,C1_F1,C23_S3,IC23_3,CC23_3,GE_S3T3,C1_F1,GD_S2T2,GD_S1T1,GD_S3T3,C,C,S2T2,S1T1,S3T3,2,2
C24,S3T1,S2T3,S1T3,C1D1,4,2,6,3,1000,C24_S1,IC24_1,CC24_1,GE_S3T1,C1_F1,C24_S2,IC24_2,CC24_2,GE_S2T3,C1_F1,C24_S3,IC24_3,CC24_3,GE_S1T3,C1_F1,GD_S3T1,GD_S2T3,GD_S1T3,B,B,S3T1,S2T3,S1T3,2,1
C25,S1T2,S2T1,S3T1,C1D1,4,2,6,3,1000,C25_S1,IC25_1,CC25_1,GE_S1T2,C1_F1,C25_S2,IC25_2,CC25_2,GE_S2T1,C1_F1,C25_S3,IC25_3,CC25_3,GE_S3T1,C1_F1,GD_S1T2,GD_S2T1,GD_S3T1,C,C,S1T2,S2T1,S3T1,2,2
C26,S2T1,S3T3,S1T1,C1D1,4,2,6,3,1000,C26_S1,IC26_1,CC26_1,GE_S2T1,C1_F1,C26_S2,IC26_2,CC26_2,GE_S3T3,C1_F1,C26_S3,IC26_3,CC26_3,GE_S1T1,C1_F1,GD_S2T1,GD_S3T3,GD_S1T1,B,B,S2T1,S3T3,S1T1,2,1
C27,S3T3,S1T2,S2T2,C1D1,4,2,6,3,1000,C27_S1,IC27_1,CC27_1,GE_S3T3,C1_F1,C27_S2,IC27_2,CC27_2,GE_S1T2,C1_F1,C27_S3,IC27_3,CC27_3,GE_S2T2,C1_F1,GD_S3T3,GD_S1T2,GD_S2T2,C,C,S3T3,S1T2,S2T2,2,2
C28,S1T2,S3T3,S2T1,C1D0b,4,2,6,3,1000,C28_S1,IC28_1,CC28_1,GE_S1T2,C1_F1,C28_S2,IC28_2,CC28_2,GE_S3T3,C1_F1,C28_S3,IC28_3,CC28_3,GE_S2T1,C1_F1,GD_S1T2,GD_S3T3,GD_S2T1,B,B,S1T2,S3T3,S2T1,2,1
C29,S2T3,S1T1,S3T2,C1D0b,4,2,6,3,1000,C29_S1,IC29_1,CC29_1,GE_S2T3,C1_F1,C29_S2,IC29_2,CC29_2,GE_S1T1,C1_F1,C29_S3,IC29_3,CC29_3,GE_S3T2,C1_F1,GD_S2T3,GD_S1T1,GD_S3T2,C,C,S2T3,S1T1,S3T2,2,2
C30,S3T1,S2T2,S1T3,C1D0b,4,2,6,3,1000,C30_S1,IC30_1,CC30_1,GE_S3T1,C1_F1,C30_S2,IC30_2,CC30_2,GE_S2T2,C1_F1,C30_S3,IC30_3,CC30_3,GE_S1T3,C1_F1,GD_S3T1,GD_S2T2,GD_S1T3,B,B,S3T1,S2T2,S1T3,2,1
C31,S1T1,S2T2,S3T3,C1D1,4,2,6,3,1000,C31_S1,IC31_1,CC31_1,GE_S1T1,C1_F1,C31_S2,IC31_2,CC31_2,GE_S2T2,C1_F1,C31_S3,IC31_3,CC31_3,GE_S3T3,C1_F1,GD_S1T1,GD_S2T2,GD_S3T3,C,C,S1T1,S2T2,S3T3,2,2
C32,S2T3,S3T1,S1T2,C1D1,4,2,6,3,1000,C32_S1,IC32_1,CC32_1,GE_S2T3,C1_F1,C32_S2,IC32_2,CC32_2,GE_S3T1,C1_F1,C32_S3,IC32_3,CC32_3,GE_S1T2,C1_F1,GD_S2T3,GD_S3T1,GD_S1T2,B,B,S2T3,S3T1,S1T2,2,1
C33,S3T2,S1T3,S2T3,C1D1,4,2,6,3,1000,C33_S1,IC33_1,CC33_1,GE_S3T2,C1_F1,C33_S2,IC33_2,CC33_2,GE_S1T3,C1_F1,C33_S3,IC33_3,CC33_3,GE_S2T3,C1_F1,GD_S3T2,GD_S1T3,GD_S2T3,C,C,S3T2,S1T3,S2T3,2,2
C34,S1T3,S3T1,S2T2,C1D0c,4,2,6,3,1000,C34_S1,IC34_1,CC34_1,GE_S1T3,C1_F1,C34_S2,IC34_2,CC34_2,GE_S3T1,C1_F1,C34_S3,IC34_3,CC34_3,GE_S2T2,C1_F1,GD_S1T3,GD_S3T1,GD_S2T2,B,B,S1T3,S3T1,S2T2,2,1
C35,S2T1,S1T2,S3T2,C1D0c,4,2,6,3,1000,C35_S1,IC35_1,CC35_1,GE_S2T1,C1_F1,C35_S2,IC35_2,CC35_2,GE_S1T2,C1_F1,C35_S3,IC35_3,CC35_3,GE_S3T2,C1_F1,GD_S2T1,GD_S1T2,GD_S3T2,C,C,S2T1,S1T2,S3T2,2,2
C36,S3T2,S2T3,S1T1,C1D0c,4,2,6,3,1000,C36_S1,IC36_1,CC36_1,GE_S3T2,C1_F1,C36_S2,IC36_2,CC36_2,GE_S2T3,C1_F1,C36_S3,IC36_3,CC36_3,GE_S1T1,C1_F1,GD_S3T2,GD_S2T3,GD_S1T1,B,B,S3T2,S2T3,S1T1,2,1
